track.name,artist.name,grammy.year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,grammy.win
Midnight at the Oasis,Maria Muldaur,1975,0.705,0.499,1,-7.969,1,0.0265,0.409,6.59E-05,0.103,0.391,98.686,audio_features,5VBcEJ4mtXTmVEJtc7hx2g,spotify:track:5VBcEJ4mtXTmVEJtc7hx2g,https://api.spotify.com/v1/tracks/5VBcEJ4mtXTmVEJtc7hx2g,https://api.spotify.com/v1/audio-analysis/5VBcEJ4mtXTmVEJtc7hx2g,229507,4,0
Feel Like Makin' Love,Roberta Flack,1975,0.681,0.264,8,-21.861,1,0.0309,0.833,0.441,0.103,0.692,93.809,audio_features,7gkboYtvhuXNS4EUwmFPcw,spotify:track:7gkboYtvhuXNS4EUwmFPcw,https://api.spotify.com/v1/tracks/7gkboYtvhuXNS4EUwmFPcw,https://api.spotify.com/v1/audio-analysis/7gkboYtvhuXNS4EUwmFPcw,175400,4,0
You And Me Against The World,Helen Reddy,1975,0.383,0.348,9,-11.991,1,0.0282,0.498,0.000114,0.154,0.244,78.627,audio_features,4YnMQa8eznnFtYPfmbY1UP,spotify:track:4YnMQa8eznnFtYPfmbY1UP,https://api.spotify.com/v1/tracks/4YnMQa8eznnFtYPfmbY1UP,https://api.spotify.com/v1/audio-analysis/4YnMQa8eznnFtYPfmbY1UP,191667,4,0
At Seventeen - Remastered,Janis Ian,1976,0.616,0.271,0,-17.212,1,0.0458,0.876,0.000126,0.113,0.336,125.021,audio_features,7wJpqjqk8QbHpCakY1ZacY,spotify:track:7wJpqjqk8QbHpCakY1ZacY,https://api.spotify.com/v1/tracks/7wJpqjqk8QbHpCakY1ZacY,https://api.spotify.com/v1/audio-analysis/7wJpqjqk8QbHpCakY1ZacY,283880,4,0
Rhinestone Cowboy,Glen Campbell,1976,0.644,0.633,0,-8.006,1,0.0261,0.102,6.82E-05,0.227,0.647,115.193,audio_features,0VwTeYNjcl30DyQlt3GPe0,spotify:track:0VwTeYNjcl30DyQlt3GPe0,https://api.spotify.com/v1/tracks/0VwTeYNjcl30DyQlt3GPe0,https://api.spotify.com/v1/audio-analysis/0VwTeYNjcl30DyQlt3GPe0,194453,4,0
Love Will Keep Us Together,Captain & Tennille,1976,0.621,0.788,4,-4.326,1,0.0314,0.354,0,0.305,0.926,129.62,audio_features,4pCNJwixy2ImFncaPY2yE2,spotify:track:4pCNJwixy2ImFncaPY2yE2,https://api.spotify.com/v1/tracks/4pCNJwixy2ImFncaPY2yE2,https://api.spotify.com/v1/audio-analysis/4pCNJwixy2ImFncaPY2yE2,205493,4,0
Afternoon Delight,Starland Vocal Band,1977,0.486,0.445,5,-11.728,1,0.03,0.49,0,0.101,0.788,147.221,audio_features,3uLk0uQ4zMS26h89Of8XOD,spotify:track:3uLk0uQ4zMS26h89Of8XOD,https://api.spotify.com/v1/tracks/3uLk0uQ4zMS26h89Of8XOD,https://api.spotify.com/v1/audio-analysis/3uLk0uQ4zMS26h89Of8XOD,193040,4,0
The Wreck of the Edmund Fitzgerald,Gordon Lightfoot,1977,0.308,0.376,4,-15.24,1,0.0626,0.116,2.52E-06,0.166,0.158,186.047,audio_features,536L9C0N7vhYdibCJx3cI2,spotify:track:536L9C0N7vhYdibCJx3cI2,https://api.spotify.com/v1/tracks/536L9C0N7vhYdibCJx3cI2,https://api.spotify.com/v1/audio-analysis/536L9C0N7vhYdibCJx3cI2,389280,3,0
This Masquerade - Edit,George Benson,1977,0.639,0.319,0,-12.942,0,0.0346,0.406,3.21E-05,0.108,0.452,90.051,audio_features,5ssQ8yVpLen4FHZzwWaA1C,spotify:track:5ssQ8yVpLen4FHZzwWaA1C,https://api.spotify.com/v1/tracks/5ssQ8yVpLen4FHZzwWaA1C,https://api.spotify.com/v1/audio-analysis/5ssQ8yVpLen4FHZzwWaA1C,196827,4,0
Breaking Up Is Hard To Do - Slow,Neil Sedaka,1977,0.408,0.271,0,-12.746,1,0.0371,0.838,0,0.172,0.251,63.346,audio_features,4Waq4F9A8L2R8KrQD87r0b,spotify:track:4Waq4F9A8L2R8KrQD87r0b,https://api.spotify.com/v1/tracks/4Waq4F9A8L2R8KrQD87r0b,https://api.spotify.com/v1/audio-analysis/4Waq4F9A8L2R8KrQD87r0b,197267,4,0
